Language1,Relationship,Language2
East Germanic languages,belongs_to,Germanic languages
Palaic,belongs_to,Anatolian languages
Old Saxon,belongs_to,West Germanic languages
Phrygian language,belongs_to,Graeco-Phrygian?
Hittite language,belongs_to,Anatolian languages
Heruli#Language,belongs_to,East Germanic languages
Extinct language,belongs_to,Germanic
Anatolian/Italic,belongs_to,Indo-European
Germanic,belongs_to,Indo-European
Indo-Aryan languages,belongs_to,Indo-Iranian languages
Low Saxon,dialect_of,Low German
Low German,descended_from,Old Saxon
Ligurian language (ancient),belongs_to,Indo-European
Anglo-Frisian,belongs_to,North Sea Germanic
Tocharian languages,belongs_to,Indo-European
Phrygian language,belongs_to,Indo-European
(?) Albanoid,belongs_to,Indo-European
Anglic,belongs_to,North Sea Germanic
Canaanite,belongs_to,Northwest Semitic
North Sea Germanic]] – <small>[[Anglo-Frisian languages,belongs_to,West Germanic
Vandalic language,belongs_to,East Germanic languages
Germanic languages,descended_from,Proto-Germanic
Elymian language,belongs_to,Anatolian/Italic
North Germanic languages,descended_from,Proto-Norse
West Germanic languages,belongs_to,Germanic languages
Anatolian languages,belongs_to,Indo-European
Sabellic languages,belongs_to,Italic languages
Indo-European,belongs_to,Indo-European
Philistine language,belongs_to,Indo-European
North Germanic languages,belongs_to,Northwest Germanic
Lusitanian language,belongs_to,Italic languages
Ligurian language (ancient),belongs_to,Unclassified
Dardani#language,belongs_to,Indo-European
Romance languages,belongs_to,Italic languages
Germanic,descended_from,Proto-Germanic
East Germanic languages,belongs_to,Germanic
Tocharian B,belongs_to,Tocharian languages
Nuristani languages,belongs_to,Indo-Iranian languages
Indo-Iranian languages,descended_from,Proto-Indo-Iranian
Northwest Germanic,belongs_to,Germanic
Weser–Rhine Germanic]] – <small>[[Low Franconian,belongs_to,West Germanic languages
Semitic,belongs_to,Afroasiatic
North Sea Germanic]] – <small>[[Anglo-Frisian languages,belongs_to,West Germanic languages
Northwest Semitic,belongs_to,Central Semitic
Italic (?) orpara-Celtic (?),belongs_to,Indo-European
Elymian language,belongs_to,Indo-European
West Germanic,belongs_to,Germanic
Italo-Celtic?,belongs_to,Indo-European
Thracian language,belongs_to,Daco-Thracian (?)
Siculian,belongs_to,Italic languages
Venetic language,belongs_to,Italic languages
Anglic languages,belongs_to,Anglo-Frisian
Ancient Macedonian language,belongs_to,Hellenic languages
Dacian language,belongs_to,Daco-Thracian (?)
Graeco-Phrygian?,belongs_to,Indo-European
Philistine language,belongs_to,North
West Semitic,belongs_to,Semitic
Indo-European,descended_from,Proto-Indo-European
Central Semitic,belongs_to,West Semitic
Italic languages,descended_from,Proto-Italic
North Germanic languages,belongs_to,Germanic languages
Lusitanian language,belongs_to,Italic(?) or Celtic(?) orpara-Celtic (?)
Thracian language,belongs_to,Indo-European
Sciri#Language,belongs_to,East Germanic languages
North Sea Germanic,belongs_to,West Germanic
East Low German,dialect_of,Low German
Elbe Germanic]] – <small>[[High German,belongs_to,West Germanic
West Germanic languages,belongs_to,Germanic
Lusitanian language,belongs_to,Indo-European
Mysian language,dialect_of,Phrygian language
Italic(?) or Celtic(?) orpara-Celtic (?),belongs_to,Indo-European
Old Saxon,belongs_to,North Sea Germanic
Burgundians#Language,belongs_to,East Germanic languages
Italic languages,belongs_to,Italo-Celtic?
Balto-Slavic]]{{indent,belongs_to,Indo-European
Albanoid]]{{indent,belongs_to,Indo-European
English,belongs_to,Anglic
Luwic,belongs_to,Anatolian languages
Belgic language,belongs_to,Italic languages
Extinct language,belongs_to,Germanic languages
Latino-Faliscan languages,belongs_to,Italic languages
Elbe Germanic]] – <small>[[High German,belongs_to,West Germanic languages
Venetic language,belongs_to,Indo-European
Badeshi,belongs_to,Indo-Iranian languages
Daco-Thracian (?),belongs_to,Indo-European
Indo-European,belongs_to,indo-european
Gothic language,belongs_to,East Germanic languages
Greek language,belongs_to,Hellenic languages
Tocharian A,belongs_to,Tocharian languages
Hellenic languages,belongs_to,Graeco-Phrygian?
Frisian languages,belongs_to,Anglo-Frisian
Liburnian language,belongs_to,Indo-European
Dardani#language,belongs_to,(?) Albanoid
Old Saxon,descended_from,Middle Low German
Tocharian languages,descended_from,Proto-Tocharian
Indo-Iranian languages,belongs_to,Indo-European
Dacian language,belongs_to,Indo-European
Venetic language,belongs_to,Italic (?) orpara-Celtic (?)
Old Saxon,belongs_to,West Germanic
North Germanic languages,belongs_to,Germanic
North,belongs_to,Canaanite
Iranian languages,belongs_to,Indo-Iranian languages
Low German,belongs_to,North Sea Germanic
Hellenic languages,descended_from,Proto-Greek
Hellenic languages,belongs_to,Indo-European
Italic languages,belongs_to,Indo-European
Afroasiatic,belongs_to,Afro-Asiatic
Paeonian language,belongs_to,Indo-European
Weser–Rhine Germanic]] – <small>[[Low Franconian,belongs_to,West Germanic
Dardic languages,belongs_to,Indo-Iranian languages
Germanic languages,belongs_to,Indo-European
Lydian language,belongs_to,Anatolian languages
Anatolian languages,descended_from,Proto-Anatolian
