domain,kingdom,subkingdom,superphylum,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,form,morph,strain,Animal Name
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Primates,Haplorhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Hominini,Hominina,Homo,,,,,,,,Homo sapiens
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Cynoidea,,,Canidae,Caninae,Canini,Canina,Canis,,,,,,,,Canis lupus familiaris
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Felinae,,,Felis,,,,,,,,Felis catus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Pantherinae,,,Panthera,,,,,,,,Panthera leo
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Pantherinae,,,Panthera,,,,,,,,Panthera tigris
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Afrotheria,Proboscidea,Elephantiformes,,,Elephantoidea,Elephantidae,Elephantinae,Loxodontini,,Loxodonta,,,,,,,,Loxodonta africana
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Euarchontoglires,Primates,Haplorhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,Gorillini,,Gorilla,,,,,,,,Gorilla gorilla
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Perissodactyla,Hippomorpha,,,Equoidea,Equidae,Equinae,Equini,Equina,Equus,,,,,,,,Equus caballus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Bovinae,Bovini,Bovina,Bos,,,,,,,,Bos taurus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,,Bovoidea,Bovidae,Caprinae,Caprini,,Ovis,,,,,,,,Ovis aries
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Suina,,,,Suidae,Suinae,,,Sus,,,,,,,,Sus scrofa
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,Galloanserae,Galliformes,,,,Phasianoidea,Phasianidae,Phasianinae,Gallini,,Gallus,,,,,,,,Gallus gallus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Neognathae,Galloanserae,Anseriformes,Anseres,,,Anatoidea,Anatidae,Anatinae,Anatini,,Anas,,,,,,,,Anas platyrhynchos
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Palaeognathae,,Apterygiformes,,,,,Apterygidae,,,,Apteryx,,,,,,,,Apteryx haastii
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Aves,,Palaeognathae,,Struthioniformes,,,,,Struthionidae,,,,Struthio,,,,,,,,Struthio camelus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Arctoidea,Ursida,Ursoidea,Ursidae,Ailuropodinae,,,Ailuropoda,,,,,,,,Ailuropoda melanoleuca
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Arctoidea,Ursida,Ursoidea,Ursidae,Ursinae,Ursini,,Ursus,,,,,,,,Ursus arctos
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Cynoidea,,,Canidae,Caninae,Vulpini,,Vulpes,,,,,,,,Vulpes vulpes
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Felinae,,,Lynx,,,,,,,,Lynx lynx
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Feliformia,Aeluroidea,,Feloidea,Felidae,Felinae,,,Acinonyx,,,,,,,,Acinonyx jubatus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinoidea,Delphinidae,Delphininae,,,Delphinus,,,,,,,,Delphinus delphis
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Odontoceti,Delphinoidea,Delphinidae,Orcininae,,,Orcinus,,,,,,,,Orcinus orca
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Mysticeti,Balaenopteroidea,Balaenopteridae,,,,Balaenoptera,,,,,,,,Balaenoptera musculus
Eukaryota,Animalia,Eumetazoa,Deuterostomia,Chordata,Vertebrata,,Mammalia,Theria,Placentalia,Laurasiatheria,Carnivora,Caniformia,Arctoidea,Pinnipedia,Phocoidea,Phocidae,Phocinae,Phocini,,Phoca,,,,,,,,Phoca vitulina
